,Link,Good Characters,Bad Characters
0,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
1,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
2,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
3,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
4,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
5,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
6,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
7,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
8,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
9,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
10,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
11,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
12,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
13,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
14,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
15,https://shanghai.anjuke.com/community/view/8,"
??
?????????A,B,C,D????A,D????????????3?1?,??597????????
?????????????2005????2007?????????*????????????????????
????????????????????????15??????85%????47%????3000?/?
","
??
????????????????????????????????????
"
16,https://shanghai.anjuke.com/community/view/8,"
??
????????434????597??????45???????????
?????????2??????900????????????????????
","
??
???????????????????????
"
17,https://shanghai.anjuke.com/community/view/8,"
??
???????????????A\D??597??????B\C??430????????767?1200???
??????????1:3????????4000???????????????????
","
??
????????7000????
"
18,https://shanghai.anjuke.com/community/view/8,"
??
?????????4?,??A\D??597??????B\C??430????????767??1200???
??????????1?3??????4000??????????????????????
????????2007????2008???
??????????????????200?????????150?
","
??
?????????????????????????17?????????????????????7000????
"
19,https://shanghai.anjuke.com/community/view/8,"
??
????????????? ????? ????? 434?597?  ???876?987???
??????????1:3  ??????? ?? ???????
","
??
?????????? ???????? ?????????? ?? ???????????????
"
20,https://shanghai.anjuke.com/community/view/8,"
??
??????????????????????????2006????????????????2???
??????????2KM???????????????????????????????????????????
?????????2????????600???9????????960??
???????????????????????9????????????????????
","
??
????????????????????????????????????????????
"
21,https://shanghai.anjuke.com/community/view/8,"
??
????????????????????434??????597????????????????
????????????????2008??????????????????????
","
??
??????????????????
"
22,https://shanghai.anjuke.com/community/view/8,"
??
???????????ABCD4?????????434-767??????????????????
????????????????????1:3????????????????????????????????
???????????????????????153??????????
????????200?????????????1000???????????2?????????500????
","
??
??????????8200??????????????????????
"
23,https://shanghai.anjuke.com/community/view/8,"
??
??????434/597???????????????5????220????????????????????
?????????????????????????500?????,????,10?????????
","
??
??????????????
"
24,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????A?D??B?C???????????4-5??
???????????????????????3:1?
??????????????????????200?????????150????
","
??
????????????
"
25,https://shanghai.anjuke.com/community/view/8,"
??
????????????????40????????????431?????597??????????????
?????????300????2????????????????300???????????????
","
??
??????????????????
"
26,https://shanghai.anjuke.com/community/view/8,"
??
????????????4?45??49?3????????????????433-597??????????
????????????1?3???4000??????????????????????????????
????????2007???2008???????????????????????????153???????
????????????????????200?????????150???????780??????650??
?????????2??????520????500????9??????????????????
","
??
????????????????????????
"
27,https://shanghai.anjuke.com/community/view/8,"
??
??????????AbCd??????AD?????597????B?C???434????
????????4000????? ?????????????????????????
","
??
??????????????
"
28,https://shanghai.anjuke.com/community/view/8,"
??
??????????4??????ABCD??????????434-767????????270???????
????????500?????2????????780??????????550???????????????
?????????????????????????????????????40?????????
","
??
???????????????????
"
29,https://shanghai.anjuke.com/community/view/8,"
??
??????4???AD??????597??BC??????434??????????????????????
??????2005????2009???????11?/???????2?/????????????????
???????????????30%?????????? ???????????????CEO?????????
???????????????????????????15?/?/???????????????????????
","
??
????????????????????????
"
30,https://shanghai.anjuke.com/community/view/8,"
??
??????????4????A??D?597?????????????????824~926??
??????????1?2.9????3300/????4000????????????????????????
??????????2005????2009????????????????????????????
","
??
??????????????16.5??
"
31,https://shanghai.anjuke.com/community/view/8,"
??
??????????4?????????A? ??597??????C???431?
???????????2????????631?????2????????840?
","
??
????431????7000??
"
32,https://shanghai.anjuke.com/community/view/8,"
??
????????4???????????A?D?597???????????
???????????????????????????????????????????
?????????????2007??????????????????????????????
??????????150?????????????300?????????????????????????
????????????????????30?45????????????
","
??
???????????
"
33,https://shanghai.anjuke.com/community/view/8,"
??
????????760????????C????????
?????????2?????????600?????????2??1200?
","
??
??????????????????
"
34,https://shanghai.anjuke.com/community/view/8,"
??
????????????????A\D?597???????B\C?434??????????824-986??
????????????1?1.95?????B1?180??B2?120?
??????2005?10???2009?6?30????????20000?/??
","
??
?????????????
"
