,0,link,long,la
0,汤臣一品,https://shanghai.anjuke.com/community/view/8,31.238608,121.508381
1,上海康城,https://shanghai.anjuke.com/community/view/1670,31.110616,121.359344
2,灵石LOFT公寓,https://shanghai.anjuke.com/community/view/304364,31.284746,121.439772
3,中粮海景壹号,https://shanghai.anjuke.com/community/view/218807,31.236882,121.51028
4,翠湖天地御苑,https://shanghai.anjuke.com/community/view/5045,31.224043,121.484404
5,尚海湾豪庭,https://shanghai.anjuke.com/community/view/1025858,31.184983,121.465781
6,好世广场天马晶座,https://shanghai.anjuke.com/community/view/1006782,31.326698,121.283275
7,骏丰玲珑坊西苑,https://shanghai.anjuke.com/community/view/1002093,31.325564,121.280833
8,陆家嘴锦绣前城,https://shanghai.anjuke.com/community/view/725250,31.201611,121.542311
9,绿地香颂(别墅),https://shanghai.anjuke.com/community/view/720919,30.830666,121.520466
10,虹桥世家花园,https://shanghai.anjuke.com/community/view/2973,31.225826,121.417535
11,和源馨苑(北区),https://shanghai.anjuke.com/community/view/652530,31.254652,121.473931
12,阳明新城,https://shanghai.anjuke.com/community/view/3977,31.275828,121.528425
13,晶钻博华,https://shanghai.anjuke.com/community/view/3875,31.273672,121.489866
14,百汇园,https://shanghai.anjuke.com/community/view/127132,31.178639,121.466712
15,田林十四村,https://shanghai.anjuke.com/community/view/7590,31.181748,121.429927
16,徐家汇花园,https://shanghai.anjuke.com/community/view/2494,31.199109,121.453519
17,徐南小区,https://shanghai.anjuke.com/community/view/2416,31.199363,121.436326
18,徐泾北城馨浦苑(西区),https://shanghai.anjuke.com/community/view/797748,31.185244,121.245523
19,长岛花苑,https://shanghai.anjuke.com/community/view/2679,31.270386,121.609057
20,大宁金茂府,https://shanghai.anjuke.com/community/view/1026817,31.291516,121.463509
21,绿地世纪花园,https://shanghai.anjuke.com/community/view/819623,31.238396,121.425562
22,嘉天汇,https://shanghai.anjuke.com/community/view/370141,31.229441,121.442578
23,金谊河畔,https://shanghai.anjuke.com/community/view/13910,31.14652,121.522219
24,陆家嘴国际华城,https://shanghai.anjuke.com/community/view/174,31.241847,121.542053
25,上海绿城,https://shanghai.anjuke.com/community/view/130,31.209665,121.53948
26,碧云国际社区晓园,https://shanghai.anjuke.com/community/view/100,31.247269,121.598271
27,大学里,https://shanghai.anjuke.com/community/view/1026160,31.284869,121.216689
28,佘北家园茸达苑,https://shanghai.anjuke.com/community/view/1006582,31.125912,121.21788
29,中梁海伦国际,https://shanghai.anjuke.com/community/view/1001333,31.267797,121.485962
30,凯德茂名公馆,https://shanghai.anjuke.com/community/view/404979,31.228705,121.468356
31,海珀旭辉(公寓),https://shanghai.anjuke.com/community/view/379640,31.189542,121.465788
32,松云银座,https://shanghai.anjuke.com/community/view/13800,31.048821,121.242088
33,花都新村,https://shanghai.anjuke.com/community/view/883568,31.306782,121.095014
34,仁恒河滨城(三期),https://shanghai.anjuke.com/community/view/818751,31.236467,121.572096
35,浦东世纪花园(二期公寓),https://shanghai.anjuke.com/community/view/725210,31.218683,121.565673
36,紫薇公寓,https://shanghai.anjuke.com/community/view/190935,31.209821,121.623535
37,万科金色雅筑,https://shanghai.anjuke.com/community/view/62413,31.149503,121.524971
38,骏丰嘉峰汇钻石公馆,https://shanghai.anjuke.com/community/view/821022,31.29525,121.326097
39,恒大名都,https://shanghai.anjuke.com/community/view/657327,31.298692,121.199109
40,绿地卡米公社,https://shanghai.anjuke.com/community/view/598074,31.333881,121.263702
41,达安花园,https://shanghai.anjuke.com/community/view/4148,31.237655,121.436506
42,万邦都市花园,https://shanghai.anjuke.com/community/view/318,31.207524,121.560011
43,徐汇公园道壹号,https://shanghai.anjuke.com/community/view/1025753,31.170221,121.44199
44,绿地新翔家园,https://shanghai.anjuke.com/community/view/819635,31.303565,121.321047
45,保利叶语(一期公寓),https://shanghai.anjuke.com/community/view/370184,31.349573,121.375276
46,世茂湖滨花园(公寓),https://shanghai.anjuke.com/community/view/38,31.236906,121.583282
47,万里城(一期),https://shanghai.anjuke.com/community/view/1025831,31.276001,121.410819
48,二联馨苑,https://shanghai.anjuke.com/community/view/865888,31.203989,121.298281
49,丽泽兰馨苑,https://shanghai.anjuke.com/community/view/441077,30.981087,121.877702
50,新乐路洋房,https://shanghai.anjuke.com/community/view/321865,31.223564,121.461636
51,尚街Loft,https://shanghai.anjuke.com/community/view/175169,31.210719,121.46762
52,群益小区,https://shanghai.anjuke.com/community/view/12495,31.073672,121.532547
53,盛大金磐花园,https://shanghai.anjuke.com/community/view/31,31.237461,121.512641
54,骏丰玲珑坊东苑,https://shanghai.anjuke.com/community/view/1002092,31.32531,121.281128
55,昌里花园,https://shanghai.anjuke.com/community/view/990259,31.18353,121.511483
56,梅园三街坊,https://shanghai.anjuke.com/community/view/990141,31.24025,121.531872
57,光明公寓,https://shanghai.anjuke.com/community/view/817341,31.220641,121.4591
58,万科早城,https://shanghai.anjuke.com/community/view/548374,31.11073,121.49374
59,溧阳路经典老洋房,https://shanghai.anjuke.com/community/view/492680,31.269175,121.494258
60,中福浦江汇(中福花苑二期),https://shanghai.anjuke.com/community/view/490025,31.215129,121.505959
61,金象大厦,https://shanghai.anjuke.com/community/view/4571,31.26725,121.484791
62,翠湖天地隽荟都,https://shanghai.anjuke.com/community/view/952288,31.222804,121.485913
63,万科公园大道,https://shanghai.anjuke.com/community/view/820613,31.030724,121.387066
64,香山国际花园,https://shanghai.anjuke.com/community/view/188489,31.240406,121.484216
65,通河六村,https://shanghai.anjuke.com/community/view/12632,31.338384,121.461245
66,茂盛花园,https://shanghai.anjuke.com/community/view/9636,31.158098,121.370033
67,美兰湖颐景园,https://shanghai.anjuke.com/community/view/8128,31.399525,121.369049
68,合景理想家,https://shanghai.anjuke.com/community/view/791772,31.341621,121.263182
69,中建大公馆,https://shanghai.anjuke.com/community/view/370231,31.337088,121.523355
70,滨江凯旋门,https://shanghai.anjuke.com/community/view/370129,31.227654,121.518292
71,保利叶上海(一期公寓),https://shanghai.anjuke.com/community/view/199700,31.352078,121.36349
