,0,link,long,la
0,汤臣一品,https://shanghai.anjuke.com/community/view/8,31.238608,121.508381
1,中粮海景壹号,https://shanghai.anjuke.com/community/view/218807,31.236882,121.51028
2,陆家嘴锦绣前城,https://shanghai.anjuke.com/community/view/725250,31.201611,121.542311
3,张江一村,https://shanghai.anjuke.com/community/view/13947,31.212369,121.619192
4,长岛花苑,https://shanghai.anjuke.com/community/view/2679,31.270386,121.609057
5,陆家嘴国际华城,https://shanghai.anjuke.com/community/view/174,31.241847,121.542053
6,上海绿城,https://shanghai.anjuke.com/community/view/130,31.209665,121.53948
7,仁恒河滨城(三期),https://shanghai.anjuke.com/community/view/818751,31.236467,121.572096
8,碧云国际社区晓园,https://shanghai.anjuke.com/community/view/100,31.247269,121.598271
9,金谊河畔,https://shanghai.anjuke.com/community/view/13910,31.14652,121.522219
10,申金大厦,https://shanghai.anjuke.com/community/view/866771,31.234933,121.51706
11,浦东世纪花园(二期公寓),https://shanghai.anjuke.com/community/view/725210,31.218683,121.565673
12,万科金色雅筑,https://shanghai.anjuke.com/community/view/62413,31.149503,121.524971
13,世茂滨江花园(南区),https://shanghai.anjuke.com/community/view/14987,31.225557,121.520885
14,昌里花园,https://shanghai.anjuke.com/community/view/990259,31.18353,121.511483
15,梅园三街坊,https://shanghai.anjuke.com/community/view/990141,31.24025,121.531872
16,滨江凯旋门,https://shanghai.anjuke.com/community/view/370129,31.227654,121.518292
17,云台小区,https://shanghai.anjuke.com/community/view/98633,31.187561,121.505749
18,世茂湖滨花园(公寓),https://shanghai.anjuke.com/community/view/38,31.236906,121.583282
19,金海华城永华苑,https://shanghai.anjuke.com/community/view/866579,31.276301,121.689743
20,星河湾,https://shanghai.anjuke.com/community/view/200907,31.198809,121.542355
21,紫薇公寓,https://shanghai.anjuke.com/community/view/190935,31.209821,121.623535
22,万邦都市花园,https://shanghai.anjuke.com/community/view/318,31.207524,121.560011
23,盛大金磐花园,https://shanghai.anjuke.com/community/view/31,31.237461,121.512641
24,乾景雅园(别墅),https://shanghai.anjuke.com/community/view/875342,31.192454,121.554019
25,星颂家园,https://shanghai.anjuke.com/community/view/471134,31.281911,121.681865
26,丽泽兰馨苑,https://shanghai.anjuke.com/community/view/441077,30.981087,121.877702
27,汇豪天下,https://shanghai.anjuke.com/community/view/81804,31.233372,121.516334
28,滴水湖馨苑,https://shanghai.anjuke.com/community/view/1026165,30.90243,121.918067
29,上南花苑(三期),https://shanghai.anjuke.com/community/view/1025895,31.186466,121.510807
30,周东公寓,https://shanghai.anjuke.com/community/view/725191,31.126031,121.593469
31,鹤沙航城汇贤雅苑,https://shanghai.anjuke.com/community/view/619185,31.077689,121.611335
32,康桥半岛城中花园,https://shanghai.anjuke.com/community/view/615595,31.137625,121.584429
33,浦发御园,https://shanghai.anjuke.com/community/view/370266,31.153149,121.541175
34,印象春城,https://shanghai.anjuke.com/community/view/189926,31.121976,121.59636
35,御翠园,https://shanghai.anjuke.com/community/view/150,31.223849,121.573489
36,保利艾庐,https://shanghai.anjuke.com/community/view/659267,31.10417,121.648249
37,星纳家园,https://shanghai.anjuke.com/community/view/404552,31.298834,121.67763
38,金梅雅苑,https://shanghai.anjuke.com/community/view/211335,31.059046,121.766021
39,万科金色城市,https://shanghai.anjuke.com/community/view/85230,31.167212,121.578734
40,东港公寓,https://shanghai.anjuke.com/community/view/6079,31.223658,121.525103
41,幸福小镇明丰绿都,https://shanghai.anjuke.com/community/view/1109,31.30621,121.615737
42,浦发绿城,https://shanghai.anjuke.com/community/view/1025933,31.151256,121.548708
43,花木绿城锦绣兰庭,https://shanghai.anjuke.com/community/view/791621,31.209794,121.552405
44,远洋万和四季,https://shanghai.anjuke.com/community/view/782641,31.06821,121.79264
45,保利ONE56,https://shanghai.anjuke.com/community/view/626043,31.225028,121.519075
46,汇福家园吉祥里,https://shanghai.anjuke.com/community/view/621021,31.097995,121.604681
47,美林小城,https://shanghai.anjuke.com/community/view/7747,31.121493,121.572633
48,上南花城,https://shanghai.anjuke.com/community/view/1025894,31.184009,121.498359
49,禹州金桥国际,https://shanghai.anjuke.com/community/view/911097,31.26195,121.619847
50,宜浩欧景,https://shanghai.anjuke.com/community/view/821046,30.919617,121.923675
51,文怡苑(二期),https://shanghai.anjuke.com/community/view/820812,31.147743,121.609679
52,鹤沙航城汇善嘉苑,https://shanghai.anjuke.com/community/view/619184,31.084481,121.61568
53,中虹家园,https://shanghai.anjuke.com/community/view/372121,31.288966,121.679509
54,金桥瑞仕花园,https://shanghai.anjuke.com/community/view/616,31.261639,121.582668
55,财富海景花园,https://shanghai.anjuke.com/community/view/6,31.231283,121.515535
56,双秀西园B区,https://shanghai.anjuke.com/community/view/819711,31.127118,121.567971
57,陆家嘴壹号院,https://shanghai.anjuke.com/community/view/804748,31.249838,121.532911
58,地产尚海郦景,https://shanghai.anjuke.com/community/view/781047,31.246286,121.542108
59,依水园(一期),https://shanghai.anjuke.com/community/view/761430,31.128425,121.51641
60,万科海上传奇,https://shanghai.anjuke.com/community/view/537363,31.164059,121.574179
61,银良公寓,https://shanghai.anjuke.com/community/view/13954,31.210591,121.555719
62,鹏欣绿苑,https://shanghai.anjuke.com/community/view/2585,31.278639,121.592231
63,万科新里程,https://shanghai.anjuke.com/community/view/2099,31.165864,121.536632
64,阳光花城(公寓),https://shanghai.anjuke.com/community/view/659,31.21405,121.62972
65,陆家嘴美丽苑,https://shanghai.anjuke.com/community/view/102,31.241012,121.549693
66,世茂滨江花园(北区),https://shanghai.anjuke.com/community/view/27,31.229112,121.520101
67,菊园,https://shanghai.anjuke.com/community/view/12,31.233983,121.520022
68,依水园(二期),https://shanghai.anjuke.com/community/view/866842,31.127401,121.515708
69,仁恒滨江园(一二期),https://shanghai.anjuke.com/community/view/866742,31.234503,121.513463
70,东方城市花园(二期),https://shanghai.anjuke.com/community/view/638815,31.204784,121.531753
71,万科翡翠滨江(一期),https://shanghai.anjuke.com/community/view/612944,31.250202,121.543602
72,鹤沙航城昱丽家园,https://shanghai.anjuke.com/community/view/559661,31.087181,121.59797
73,金沁苑(南区),https://shanghai.anjuke.com/community/view/506265,31.087526,121.606016
74,象屿鼎城(公寓),https://shanghai.anjuke.com/community/view/405732,31.193408,121.692255
75,海尚乐苑,https://shanghai.anjuke.com/community/view/297891,31.12095,121.609395
76,海尚康庭,https://shanghai.anjuke.com/community/view/14852,31.132774,121.606158
77,金桥湾清水苑(一期),https://shanghai.anjuke.com/community/view/11620,31.26656,121.601136
78,绿洲康城亲水湾,https://shanghai.anjuke.com/community/view/11159,31.158304,121.590339
79,天台星城,https://shanghai.anjuke.com/community/view/7718,31.12605,121.555918
80,金恒小区,https://shanghai.anjuke.com/community/view/5968,31.190532,121.543446
81,广洋华景苑,https://shanghai.anjuke.com/community/view/2105,31.248269,121.566161
82,碧云新天地家园(二期),https://shanghai.anjuke.com/community/view/1624,31.26807,121.594801
83,花木苑,https://shanghai.anjuke.com/community/view/355,31.216289,121.54984
84,九间堂别墅,https://shanghai.anjuke.com/community/view/92,31.228411,121.568836
85,凯佳公寓(二期),https://shanghai.anjuke.com/community/view/877067,31.18203,121.70597
86,证大家园(三期),https://shanghai.anjuke.com/community/view/820523,31.286932,121.602798
87,华钜御庭(二期公寓),https://shanghai.anjuke.com/community/view/818342,31.061909,121.781179
88,绿都绣云里,https://shanghai.anjuke.com/community/view/804414,31.11505,121.717256
89,凌桥景园,https://shanghai.anjuke.com/community/view/658172,31.366579,121.537024
90,新高苑佳园,https://shanghai.anjuke.com/community/view/637197,31.295963,121.623963
91,阳光城愉景湾,https://shanghai.anjuke.com/community/view/630843,31.182825,121.709898
92,金桥和苑,https://shanghai.anjuke.com/community/view/407805,31.259493,121.599044
93,御沁园(东区公寓),https://shanghai.anjuke.com/community/view/397388,31.108071,121.581995
94,锦绣华都,https://shanghai.anjuke.com/community/view/219208,31.161016,121.587832
95,天台别韵,https://shanghai.anjuke.com/community/view/209842,31.126784,121.558564
96,阳光城市家园,https://shanghai.anjuke.com/community/view/193920,31.277339,121.620338
97,万科金色里程(公寓),https://shanghai.anjuke.com/community/view/121483,31.16758,121.534047
98,金地未未来,https://shanghai.anjuke.com/community/view/120217,31.31268,121.594133
99,江临天下,https://shanghai.anjuke.com/community/view/75566,31.232157,121.518233
100,银丰苑,https://shanghai.anjuke.com/community/view/11962,31.272776,121.696745
101,艺泰安邦花园,https://shanghai.anjuke.com/community/view/7715,31.066885,121.715097
102,三林安居苑,https://shanghai.anjuke.com/community/view/1659,31.152,121.532269
103,雪野家园,https://shanghai.anjuke.com/community/view/111,31.189373,121.506816
104,环球翡翠湾花园,https://shanghai.anjuke.com/community/view/87,31.159622,121.5389
105,联洋年华,https://shanghai.anjuke.com/community/view/33,31.231501,121.56062
106,湾流域城(金地湾流域一期),https://shanghai.anjuke.com/community/view/1025816,31.155273,121.525619
107,仁恒公园世纪,https://shanghai.anjuke.com/community/view/877175,31.215162,121.540364
108,仁恒河滨城(二期),https://shanghai.anjuke.com/community/view/818748,31.236763,121.57222
109,金钻苑(北区),https://shanghai.anjuke.com/community/view/818226,31.285693,121.687192
110,绿地东上海海富城市花园(二期),https://shanghai.anjuke.com/community/view/817488,31.130748,121.577194
111,浦东虹桥花园,https://shanghai.anjuke.com/community/view/817485,31.232412,121.570871
112,高盛家园,https://shanghai.anjuke.com/community/view/658171,31.368993,121.539257
113,九龙仓兰廷,https://shanghai.anjuke.com/community/view/655475,31.117117,121.597966
114,阳光城丽景湾,https://shanghai.anjuke.com/community/view/651223,31.102707,121.63797
115,鹤沙航城航武嘉园(中区),https://shanghai.anjuke.com/community/view/595431,31.081192,121.602006
116,长泰公馆(公寓),https://shanghai.anjuke.com/community/view/578086,31.032689,121.596301
117,合生时代锦苑(合生前滩1号),https://shanghai.anjuke.com/community/view/571615,31.156491,121.495928
118,佳伟景苑,https://shanghai.anjuke.com/community/view/535586,31.289868,121.681126
119,星金家园,https://shanghai.anjuke.com/community/view/446190,31.281294,121.684584
120,张江汤臣豪园三期,https://shanghai.anjuke.com/community/view/394666,31.205183,121.60448
121,城市经典铭筑,https://shanghai.anjuke.com/community/view/344397,31.217436,121.62033
122,绿地东岸涟城,https://shanghai.anjuke.com/community/view/189991,30.890722,121.922902
123,紫晶苑,https://shanghai.anjuke.com/community/view/13235,31.181176,121.63014
124,浦江东旭公寓(东区),https://shanghai.anjuke.com/community/view/12592,31.299172,121.592494
125,绿地康桥新苑,https://shanghai.anjuke.com/community/view/7712,31.144438,121.57287
126,东陆新村五街坊,https://shanghai.anjuke.com/community/view/6061,31.284403,121.599295
127,金鹏苑,https://shanghai.anjuke.com/community/view/2696,31.261986,121.596892
