,room,area,price,orient,level,dec,line,linedistance,district,school,time,elevator,unknown1,unknown2,unknown3,unknown4,web
0,"
3室2厅2卫        ",165平米,80000元/平米,南北,中层,精装修,9,657,浦东,0,2003年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319958719.htm
1,"
2室1厅1卫        ",89.5平米,25698元/平米,南北,低层,毛坯,0,0,金山,0,2011年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319958718.htm
2,"
4室2厅4卫        ",125平米,56000元/平米,南北,低层,豪华装修,0,0,青浦,0,2017年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319943960.htm
3,"
2室2厅1卫        ",78.3平米,52363元/平米,南北,中层,精装修,6,217,浦东,0,2000年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319838397.htm
4,"
2室1厅1卫        ",59.5平米,50420元/平米,南,高层,简装修,9,807,浦东,1,1997年,无 ,商品房,板楼,"
                                2018-04-13
                        ",54564元/平米,http://esf.sh.fang.com/chushou/3_319916262.htm
5,"
4室2厅2卫        ",154平米,61688元/平米,南北,低层,精装修,9,434,闵行,0,2006年,无 ,个人产权,普通住宅,平层,砖楼,http://esf.sh.fang.com/chushou/3_319772993.htm
6,"
3室2厅2卫        ",152平米,82237元/平米,南北,中层,精装修,9,232,卢湾,0,2008年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319012254.htm
7,"
4室3厅3卫        ",310平米,48387元/平米,南,低层,简装修,0,0,松江,0,2003年,独栋,平层,"
                                2018-04-06
                        ",46047元/平米,↓3.68%,http://esf.sh.fang.com/chushou/10_319483029.htm
8,"
3室2厅1卫        ",89.89平米,51174元/平米,南北,高层,豪华装修,11,928,浦东,0,2012年,有 ,个人产权,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319487309.htm
9,"
2室2厅2卫        ",125.2平米,79872元/平米,南北,高层,精装修,9,407,卢湾,0,2005年,无 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319810626.htm
10,"
2室2厅1卫        ",78平米,41026元/平米,南北,中层,精装修,0,0,闵行,0,2015年,无 ,个人产权,"
                                2018-04-13
                        ",45287元/平米,↑0.7%,http://esf.sh.fang.com/chushou/3_319911796.htm
11,"
3室2厅2卫        ",210平米,114286元/平米,西,高层,精装修,9,977,浦东,0,2006年,有 ,个人产权,普通住宅,开间,板楼,http://esf.sh.fang.com/chushou/3_319883038.htm
12,"
3室2厅3卫        ",330平米,84818元/平米,西,高层,豪华装修,9,995,浦东,0,2003年,有 ,个人产权,普通住宅,"
                                2018-04-13
                        ",84957元/平米,http://esf.sh.fang.com/chushou/3_319946421.htm
13,"
3室2厅2卫        ",149平米,90604元/平米,南北,中层,精装修,9,799,浦东,0,2004年,有 ,个人产权,普通住宅,"
                                2018-04-13
                        ",90853元/平米,http://esf.sh.fang.com/chushou/3_319951110.htm
14,"
2室2厅2卫        ",92.42平米,89807元/平米,南,高层,豪华装修,9,525,浦东,0,2000年,有 ,个人产权,普通住宅,"
                                2018-04-13
                        ",76985元/平米,http://esf.sh.fang.com/chushou/3_319930605.htm
15,"
3室2厅2卫        ",149平米,90604元/平米,南,高层,精装修,9,799,浦东,0,2004年,有 ,个人产权,普通住宅,开间,板楼,http://esf.sh.fang.com/chushou/3_319946361.htm
16,"
2室2厅1卫        ",77平米,51688元/平米,南北,高层,精装修,11,425,浦东,0,2006年,有 ,商品房,普通住宅,平层,板楼,http://esf.sh.fang.com/chushou/3_319463022.htm
17,"
2室2厅3卫        ",180平米,155556元/平米,西南,高层,精装修,9,978,浦东,0,2013年,有 ,个人产权,普通住宅,"
                                2018-04-13
                        ",176679元/平米,http://esf.sh.fang.com/chushou/3_319947105.htm
18,"
4室2厅2卫        ",185平米,112432元/平米,东西,高层,豪华装修,2,989,浦东,0,2003年,有 ,个人产权,普通住宅,平层,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319950300.htm
19,"
1室2厅1卫        ",85.1平米,105758元/平米,西北,高层,豪华装修,9,995,浦东,0,2002年,有 ,个人产权,普通住宅,平层,"
                                2018-04-13
                        ",http://esf.sh.fang.com/chushou/3_319946494.htm
20,"
3室2厅3卫        ",237平米,86498元/平米,南,高层,精装修,9,995,浦东,0,2003年,有 ,个人产权,普通住宅,"
                                2018-04-13
                        ",84957元/平米,http://esf.sh.fang.com/chushou/3_319947157.htm
21,"
3室2厅2卫        ",171平米,86550元/平米,南北,高层,豪华装修,2,989,浦东,0,2001年,有 ,个人产权,普通住宅,开间,板楼,http://esf.sh.fang.com/chushou/3_319946330.htm
22,"
3室2厅3卫        ",209平米,114833元/平米,南,高层,豪华装修,9,977,浦东,0,2006年,有 ,个人产权,普通住宅,开间,"
                                2018-04-12
                        ",http://esf.sh.fang.com/chushou/3_319883048.htm
23,"
3室2厅3卫        ",211平米,100948元/平米,西北,中层,豪华装修,9,977,浦东,0,2010年,有 ,个人产权,普通住宅,开间,板楼,http://esf.sh.fang.com/chushou/3_319946256.htm
