,address,link,long,lat,property_type,property_costs,total_area,number_of_units,year_built,parking_spots,volume_rate,green_rating,developer_company,property_management_company
0,汤臣一品,https://shanghai.anjuke.com/community/view/8,31.23860800000001,121.508381,公寓,15.00元/平米/月,141894m²,220户,2006年,200,5.97,40%(高),汤臣海景花园（上海浦东新区）有限公司,晶华物业有限公司
1,中粮海景壹号,https://shanghai.anjuke.com/community/view/218807,31.236882,121.51028,公寓,12.00元/平米/月,116605m²,317户,2010年,200,4,51%(高),上海鹏利置业发展有限公司,上海高力国际物业服务有限公司
2,陆家嘴锦绣前城,https://shanghai.anjuke.com/community/view/725250,31.201611,121.542311,公寓,1.00元/平米/月,暂无数据,暂无数据,2016年,200,1.8,40%(高),上海陆家嘴（集团）有限公司,上海市陆家嘴物业管理有限公司
3,张江一村,https://shanghai.anjuke.com/community/view/13947,31.212369,121.619192,公寓,0.40元/平米/月,暂无数据,暂无数据,1995年,300个 ,1.8,32%(一般),暂无数据,暂无数据
4,长岛花苑,https://shanghai.anjuke.com/community/view/2679,31.270386,121.609057,公寓,1.00元/平米/月,23000m²,2034户,1993年,1000,1.2,35%(一般),上海浦东伟业房地产开发总公司,上海洋泾物业
5,陆家嘴国际华城,https://shanghai.anjuke.com/community/view/174,31.241847,121.542053,公寓,2.00元/平米/月,200000m²,1200户,2004年,900,2.2,60%(高),上海华能天地房地产有限公司,陆家嘴物业
6,上海绿城,https://shanghai.anjuke.com/community/view/130,31.209665,121.53948,公寓,2.55元/平米/月,暂无数据,暂无数据,2004年,120,2.2,50%(高),上海绿宇房地产开发有限公司,上海绿宇物业管理有限公司
7,仁恒河滨城(三期),https://shanghai.anjuke.com/community/view/818751,31.236467,121.572096,公寓,3.50元/平米/月,暂无数据,暂无数据,2009年,暂无数据,2.3,43%(高),上海仁恒房地产有限公司,仁恒物业
8,碧云国际社区晓园,https://shanghai.anjuke.com/community/view/100,31.247269,121.598271,公寓,3.90元/平米/月,50000m²,268户,2006年,380,1.6,49%(高),上海中通贵云实业有限公司,上海金晨物业管理有限公司
9,金谊河畔,https://shanghai.anjuke.com/community/view/13910,31.14652,121.522219,公寓,1.66元/平米/月,暂无数据,暂无数据,2009年,1395,1.89,45%(高),上海中房置业股份有限公司,上海中星集团申城物业有限公司
10,申金大厦,https://shanghai.anjuke.com/community/view/866771,31.234933,121.51706,公寓,2.50元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上海申金物业
11,浦东世纪花园(二期公寓),https://shanghai.anjuke.com/community/view/725210,31.218683,121.565673,公寓,2.00元/平米/月,暂无数据,暂无数据,1999年,20,暂无数据,50%(高),上海东上海联合置业有限公司,浦东世纪物业
12,万科金色雅筑,https://shanghai.anjuke.com/community/view/62413,31.14950300000001,121.524971,公寓,2.80元/平米/月,暂无数据,暂无数据,2008年,540,1,35%(一般),上海中林置业发展有限公司,万科物业发展有限公司
13,世茂滨江花园(南区),https://shanghai.anjuke.com/community/view/14987,31.225557,121.520885,公寓,5.00元/平米/月,40000m²,180户,2009年,停车位共50个,3,20%(一般),上海世茂房地产有限公司,世茂物业管理有限公司
14,昌里花园,https://shanghai.anjuke.com/community/view/990259,31.18353,121.511483,公寓,1.57元/平米/月,暂无数据,暂无数据,2003年,暂无数据,暂无数据,46%(高),上海市城市建设综合开发有限公司,上海中凯物业有限公司
15,梅园三街坊,https://shanghai.anjuke.com/community/view/990141,31.24025,121.531872,公寓,0.85元/平米/月,暂无数据,暂无数据,1985年,暂无数据,1.4,35%(一般),上海建工集团,欣达物业管理有限公司
16,滨江凯旋门,https://shanghai.anjuke.com/community/view/370129,31.227654,121.518292,公寓,暂无数据,61500m²,688户,2013年,暂无数据,2.4,35%(一般),新鸿基地产发展有限公司,上海启胜物业管理服务有限公司
17,云台小区,https://shanghai.anjuke.com/community/view/98633,31.187561,121.505749,公寓,0.80元/平米/月,10000m²,160户,1993年,150,1.2,30%(一般),上海恒大房产股份有限公司,上海上钢物业公司
18,世茂湖滨花园(公寓),https://shanghai.anjuke.com/community/view/38,31.236906,121.583282,公寓,5.00元/平米/月,暂无数据,暂无数据,2004年,3000,1.5,40%(高),上海世茂建设有限公司,世茂物业管理有限公司
19,金海华城永华苑,https://shanghai.anjuke.com/community/view/866579,31.276301,121.689743,公寓,1.25元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.99,36%(一般),暂无数据,上海浦东东龙物业有限公司
20,星河湾,https://shanghai.anjuke.com/community/view/200907,31.198809000000004,121.542355,公寓,4.90元/平米/月,95000m²,531户,2009年,825,1.72,35%(一般),星河湾地产集团有限公司,广州星河湾物业管理服务有限公司上海分公司
21,紫薇公寓,https://shanghai.anjuke.com/community/view/190935,31.209821,121.623535,公寓,2.30元/平米/月,450000m²,1200户,2000年,1000,暂无数据,40%(高),上海市政府,上海陆家嘴物业管理有限公司
22,万邦都市花园,https://shanghai.anjuke.com/community/view/318,31.207524,121.56001100000002,公寓,1.60元/平米/月,暂无数据,暂无数据,2004年,2000,暂无数据,60%(高),上海万邦企业集团有限公司,上海复欣物业
23,盛大金磐花园,https://shanghai.anjuke.com/community/view/31,31.237461,121.512641,公寓,2.00元/平米/月,114588m²,500户,2005年,500,3.5,50%(高),上海金磐房地产开发有限公司,上海申厦物业
24,乾景雅园(别墅),https://shanghai.anjuke.com/community/view/875342,31.192454,121.554019,别墅,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
25,星颂家园,https://shanghai.anjuke.com/community/view/471134,31.281911,121.681865,公寓,1.11元/平米/月,134784m²,1728户,2012年,600,2.3,45%(高),中星地产,浦东东龙物业有限公司
26,丽泽兰馨苑,https://shanghai.anjuke.com/community/view/441077,30.981087,121.877702,公寓,1.50元/平米/月,暂无数据,336户,2007年,暂无数据,1.2,35%(一般),临港经济发展有限公司,上海南汇惠房物业管理有限公司
27,汇豪天下,https://shanghai.anjuke.com/community/view/81804,31.233372,121.516334,公寓,3.50元/平米/月,暂无数据,暂无数据,2005年,800,3.1,50%(高),上海浦东新翔房地产开发有限公司,东湖物业
28,滴水湖馨苑,https://shanghai.anjuke.com/community/view/1026165,30.90243,121.918067,公寓,1.75元/平米/月,暂无数据,暂无数据,2012年,暂无数据,1,暂无数据,上海海港新城房地产有限公司,上海海港新城物业服务
29,上南花苑(三期),https://shanghai.anjuke.com/community/view/1025895,31.186466,121.510807,公寓,0.80元/平米/月,暂无数据,暂无数据,1998年,暂无数据,2.4,暂无数据,上海浦东上南房产有限公司,上海南顺物业管理有限公司
30,周东公寓,https://shanghai.anjuke.com/community/view/725191,31.126031,121.593469,公寓,1.50元/平米/月,暂无数据,暂无数据,2007年,暂无数据,1.6,35%(一般),上海周房物业管理有限公司,周房置业物业有限公司 
31,鹤沙航城汇贤雅苑,https://shanghai.anjuke.com/community/view/619185,31.077689000000003,121.611335,公寓,1.20元/平米/月,暂无数据,暂无数据,2013年,1000,1.8,30%(一般),上海金沁房地产开发有限公司,物业
32,康桥半岛城中花园,https://shanghai.anjuke.com/community/view/615595,31.137625,121.584429,别墅,1.00元/平米/月,暂无数据,暂无数据,2012年,200,2.16,32%(一般),上海康桥半岛（集团）有限公司,上海新独院物业管理有限公司
33,浦发御园,https://shanghai.anjuke.com/community/view/370266,31.153149,121.541175,公寓,3.50元/平米/月,75624m²,642户,2013年,322,1.39,35%(一般),上海浦发澳丽房地产有限公司,浦房物业管理有限公司
34,印象春城,https://shanghai.anjuke.com/community/view/189926,31.121976,121.59636,公寓,1.78元/平米/月,暂无数据,暂无数据,2009年,550,暂无数据,40%(高),上海瀛浦置业有限公司,圣维仕物业管理有限公司
35,御翠园,https://shanghai.anjuke.com/community/view/150,31.223849,121.573489,别墅,8.00元/平米/月,160000m²,404户,2004年,500,0.35,56%(高),长江实业（集团）股份有限公司,和记物业服务上海有限公司
36,保利艾庐,https://shanghai.anjuke.com/community/view/659267,31.10417,121.648249,公寓,3.00元/平米/月,暂无数据,暂无数据,2015年,暂无数据,1.5,35%(一般),保利房地产（集团）股份有限公司,上海保利物业酒店管理集团有限公司
37,星纳家园,https://shanghai.anjuke.com/community/view/404552,31.29883400000001,121.67763,公寓,1.10元/平米/月,63284m²,986户,2012年,586,2.3,45%(高),上海中星（集团）有限公司,上海浦东东龙物业有限公司
38,金梅雅苑,https://shanghai.anjuke.com/community/view/211335,31.059046,121.766021,公寓,1.20元/平米/月,暂无数据,暂无数据,2009年,150,暂无数据,36%(一般),上海纬纳置业发展有限公司,伟纳物业有限公司
39,万科金色城市,https://shanghai.anjuke.com/community/view/85230,31.167212,121.578734,公寓,2.65元/平米/月,139204m²,5095户,2010年,3060,1.68,47%(高),上海万科房地产有限公司,上海万科物业管理有限公司
40,东港公寓,https://shanghai.anjuke.com/community/view/6079,31.223658,121.525103,公寓,1.00元/平米/月,25900m²,1890户,1987年,256,暂无数据,40%(高),上海建工集团,潍坊物业
41,幸福小镇明丰绿都,https://shanghai.anjuke.com/community/view/1109,31.30621,121.615737,公寓,1.20元/平米/月,300000m²,2800户,2006年,1000,1.4,35%(一般),上海虹阳置业有限公司,同涞物业管理公司
42,浦发绿城,https://shanghai.anjuke.com/community/view/1025933,31.151256,121.548708,公寓,0.55元/平米/月,暂无数据,暂无数据,2005年,暂无数据,1.3,35%(一般),浦东房地产开发责任有限公司,浦发物业公司
43,花木绿城锦绣兰庭,https://shanghai.anjuke.com/community/view/791621,31.209794,121.552405,公寓,3.00元/平米/月,暂无数据,暂无数据,2015年,650,2.4,35%(一般),浙江绿城房地产集团有限公司,上海绿城物业
44,远洋万和四季,https://shanghai.anjuke.com/community/view/782641,31.06821,121.79264,公寓,2.00元/平米/月,暂无数据,暂无数据,2016年,暂无数据,2,35%(一般),上海远汇置业有限公司,远洋物业管理有限公司
45,保利ONE56,https://shanghai.anjuke.com/community/view/626043,31.225028,121.519075,公寓,2.60元/平米/月,166000m²,156户,2013年,915,2.4,35%(一般),上海保利建昊商业投资有限公司, 上海保利物业管理有限公司 
46,汇福家园吉祥里,https://shanghai.anjuke.com/community/view/621021,31.097995,121.604681,公寓,1.20元/平米/月,暂无数据,暂无数据,2010年,500,暂无数据,35%(一般),暂无信息,友全物业管理有限公司
47,美林小城,https://shanghai.anjuke.com/community/view/7747,31.121493,121.572633,公寓,0.70元/平米/月,350000m²,3047户,2005年,1148,1.3,37%(一般),上海康星房地产开发有限公司,上海申能物业管理有限公司
48,上南花城,https://shanghai.anjuke.com/community/view/1025894,31.184009000000003,121.498359,公寓,0.80元/平米/月,暂无数据,暂无数据,2002年,暂无数据,1.93,45%(高),上海浦东上南房产有限公司,上海上房物业有限公司
49,禹州金桥国际,https://shanghai.anjuke.com/community/view/911097,31.26195,121.619847,公寓,6.80元/平米/月,暂无数据,暂无数据,2009年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
50,宜浩欧景,https://shanghai.anjuke.com/community/view/821046,30.919617,121.923675,公寓,暂无数据,暂无数据,暂无数据,2015年,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
51,文怡苑(二期),https://shanghai.anjuke.com/community/view/820812,31.147743,121.609679,公寓,0.50元/平米/月,暂无数据,暂无数据,2011年,暂无数据,1.5,40%(高),周康置业开发有限公司,上海洲建物业管理有限公司
52,鹤沙航城汇善嘉苑,https://shanghai.anjuke.com/community/view/619184,31.084481,121.61568,公寓,1.20元/平米/月,52647m²,1550户,2013年,1200,暂无数据,45%(高),上海农工商建筑有限公司,上海建盛物业服务中心
53,中虹家园,https://shanghai.anjuke.com/community/view/372121,31.288966,121.679509,公寓,1.06元/平米/月,6851m²,260户,2011年,地上停车位 地下停车库,2.3,30%(一般),上海中虹万捷房地产开发有限公司,上海虹达物业管理有限公司 
54,金桥瑞仕花园,https://shanghai.anjuke.com/community/view/616,31.261639,121.582668,公寓,4.00元/平米/月,220000m²,1200户,2008年,1000,暂无数据,56%(高),上海黄山合城置业有限公司,戴德梁行物业管理有限公司
55,财富海景花园,https://shanghai.anjuke.com/community/view/6,31.231283,121.515535,公寓,6.00元/平米/月,暂无数据,暂无数据,2006年,650,暂无数据,暂无数据,上海东闻房地产有限公司,仲量联行物业
56,双秀西园B区,https://shanghai.anjuke.com/community/view/819711,31.127118,121.567971,公寓,0.68元/平米/月,暂无数据,暂无数据,2003年,暂无数据,1.38,42%(高),上海周康房地产有限公司,周房物业
57,陆家嘴壹号院,https://shanghai.anjuke.com/community/view/804748,31.249838,121.532911,公寓,14.80元/平米/月,暂无数据,暂无数据,2018年,暂无数据,2.5,35%(一般),暂无数据,第一太平戴维斯物业顾问(上海)有限公司
58,地产尚海郦景,https://shanghai.anjuke.com/community/view/781047,31.246286,121.542108,公寓,1.00元/平米/月,暂无数据,暂无数据,2017年,暂无数据,2.5,35%(一般),上海地产（集团）有限公司,通昌物业
59,依水园(一期),https://shanghai.anjuke.com/community/view/761430,31.128425,121.51641,公寓,1.26元/平米/月,暂无数据,暂无数据,2015年,暂无数据,3,35%(一般),上海静安地产集团有限公司,暂无信息
60,万科海上传奇,https://shanghai.anjuke.com/community/view/537363,31.164059,121.574179,公寓,3.40元/平米/月,250000m²,1172户,2014年,3060,2,45%(高),上海地杰置业有限公司,上海万科物业管理有限公司
61,银良公寓,https://shanghai.anjuke.com/community/view/13954,31.210591,121.555719,公寓,1.00元/平米/月,20000m²,164户,1997年,30,1.3,45%(高),上海银厦房地产公司,上海颐人物业管理有限公司
62,鹏欣绿苑,https://shanghai.anjuke.com/community/view/2585,31.278639,121.592231,公寓,1.00元/平米/月,450000m²,1500户,2000年,450,1.75,51%(高),上海鹏欣（集团）有限公司,上海春川物业管理有限公司
63,万科新里程,https://shanghai.anjuke.com/community/view/2099,31.16586400000001,121.536632,公寓,2.20元/平米/月,185328m²,2700户,2007年,2100,1.5,50%(高),万科集团,上海万科物业管理有限公司
64,阳光花城(公寓),https://shanghai.anjuke.com/community/view/659,31.21405,121.62972,公寓,2.00元/平米/月,200000m²,1327户,2007年,1099,1.59,37%(一般),上海德尚房地产开发有限公司,上钢物业管理有限公司
65,陆家嘴美丽苑,https://shanghai.anjuke.com/community/view/102,31.241012,121.549693,公寓,2.50元/平米/月,160000m²,1036户,2006年,910,2.1,50%(高),上海陆洋经济联合发展有限公司,上海陆家嘴物业管理有限公司
66,世茂滨江花园(北区),https://shanghai.anjuke.com/community/view/27,31.229112,121.520101,公寓,5.00元/平米/月,暂无数据,暂无数据,2003年,20,2.9,50%(高),上海世茂房地产有限公司,世茂物业
67,菊园,https://shanghai.anjuke.com/community/view/12,31.233983,121.520022,公寓,2.98元/平米/月,150000m²,1100户,2000年,320,暂无数据,50%(高),上海浦东新翔房地产有限公司,新翔物业
68,依水园(二期),https://shanghai.anjuke.com/community/view/866842,31.12740100000001,121.515708,公寓,0.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,依水园物业管理处
69,仁恒滨江园(一二期),https://shanghai.anjuke.com/community/view/866742,31.234503000000004,121.513463,公寓,2.50元/平米/月,暂无数据,暂无数据,2003年,暂无数据,3,60%(高),上海仁恒房地产有限公司,上海仁恒物业管理有限公司
70,东方城市花园(二期),https://shanghai.anjuke.com/community/view/638815,31.204784000000004,121.531753,公寓,1.80元/平米/月,460000m²,3600户,2005年,1500,1.75,40%(高),上海由由（集团）股份有限公司,上海由由物业管理有限公司
71,万科翡翠滨江(一期),https://shanghai.anjuke.com/community/view/612944,31.250202,121.543602,公寓,9.60元/平米/月,206480m²,438户,2015年,928,2.76,30%(一般),上海祥大房地产发展有限公司,上海万科物业服务有限公司
72,鹤沙航城昱丽家园,https://shanghai.anjuke.com/community/view/559661,31.087181,121.59797,公寓,1.50元/平米/月,暂无数据,暂无数据,2014年,地下停车位99个,暂无数据,40%(高),暂无数据,旺都物业管理有限公司
73,金沁苑(南区),https://shanghai.anjuke.com/community/view/506265,31.087526,121.606016,公寓,1.07元/平米/月,360000m²,3260户,2012年,2000个,暂无数据,35%(一般),金沁苑房地产开发有限公司,上海捷艾尔物业公司
74,象屿鼎城(公寓),https://shanghai.anjuke.com/community/view/405732,31.193408,121.692255,公寓,2.00元/平米/月,85000m²,669户,2013年,别墅都有的,1.5,30%(一般),上海象屿鼎城有限公司,上海同进物业服务有限公司
75,海尚乐苑,https://shanghai.anjuke.com/community/view/297891,31.12095,121.609395,公寓,1.20元/平米/月,暂无数据,暂无数据,2010年,800,1.5,25%(一般),上海雨润房地产开发有限公司,上海豫园物业管理有限公司
76,海尚康庭,https://shanghai.anjuke.com/community/view/14852,31.132774,121.606158,公寓,1.00元/平米/月,44865m²,613户,2007年,385,1.5,35%(一般),上海建工集团,豫园物业管理有限公司
77,金桥湾清水苑(一期),https://shanghai.anjuke.com/community/view/11620,31.26656,121.601136,公寓,0.62元/平米/月,240000m²,2787户,1998年,937,1.45,46%(高),上海金桥出口加工区房地产发展有限公司,安居物业
78,绿洲康城亲水湾,https://shanghai.anjuke.com/community/view/11159,31.158304,121.590339,公寓,1.50元/平米/月,4323888m²,7000户,2010年,4142,1.5,44%(高),上海振龙房地产有限公司,上海中远物业管理发展有限公司
79,天台星城,https://shanghai.anjuke.com/community/view/7718,31.12605,121.555918,公寓,0.50元/平米/月,160000m²,690户,2005年,680,1.3,35%(一般),上海天台恒星房地产经营开发有限公司,上海天台物业管理有限公司
80,金恒小区,https://shanghai.anjuke.com/community/view/5968,31.190532,121.543446,公寓,0.50元/平米/月,64000m²,290户,1995年,68,2,35%(一般),上海建工集团,上海沪西物业管理有限公司
81,广洋华景苑,https://shanghai.anjuke.com/community/view/2105,31.248269,121.566161,公寓,2.00元/平米/月,65000m²,556户,暂无数据,350,暂无数据,暂无数据,暂无数据,上海理家物业管理有限公司
82,碧云新天地家园(二期),https://shanghai.anjuke.com/community/view/1624,31.26807,121.594801,公寓,1.85元/平米/月,240000m²,1640户,2002年,510地下车位,2.4,40%(高),上海金桥出口加工区开发股份有限公司,上海欣城物业有限公司
83,花木苑,https://shanghai.anjuke.com/community/view/355,31.216289,121.54984,公寓,0.80元/平米/月,300000m²,1600户,2001年,400,1.6,40%(高),上海鑫荣房地产综合开发有限公司,花木物业公司
84,九间堂别墅,https://shanghai.anjuke.com/community/view/92,31.228411,121.568836,别墅,6.00元/平米/月,24298m²,46户,2007年,50,0.28,60%(高),上海证大三角洲置业有限公司,上海证大物业管理有限公司
85,凯佳公寓(二期),https://shanghai.anjuke.com/community/view/877067,31.18203,121.70597,公寓,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,上海浦东山佳实业有限公司,上海君仕物业管理有限公司
86,证大家园(三期),https://shanghai.anjuke.com/community/view/820523,31.286932,121.602798,公寓,1.55元/平米/月,暂无数据,暂无数据,2006年,暂无数据,1.31,45%(高),上海证大房地产开发有限公司,上海科瑞物业管理发展有限公司
87,华钜御庭(二期公寓),https://shanghai.anjuke.com/community/view/818342,31.061909000000004,121.781179,公寓,1.63元/平米/月,暂无数据,暂无数据,2010年,暂无数据,暂无数据,40%(高),上海颐和置业有限公司,上海鑫源物业经营管理有限公司
88,绿都绣云里,https://shanghai.anjuke.com/community/view/804414,31.11505,121.717256,公寓,3.80元/平米/月,暂无数据,暂无数据,暂无数据,暂无数据,2,35%(一般),上海迪南房地产开发有限公司,绿都物业服务有限公司
89,凌桥景园,https://shanghai.anjuke.com/community/view/658172,31.366579,121.537024,公寓,1.20元/平米/月,暂无数据,暂无数据,2014年,暂无数据,暂无数据,35%(一般),上海五隆置业发展有限公司,潼港物业
90,新高苑佳园,https://shanghai.anjuke.com/community/view/637197,31.295963,121.623963,公寓,1.50元/平米/月,暂无数据,暂无数据,2010年,暂无数据,2,35%(一般),上海外高桥新市镇开发管理有限公司,信汇物业
91,阳光城愉景湾,https://shanghai.anjuke.com/community/view/630843,31.182825,121.709898,公寓,3.00元/平米/月,139613m²,1306户,2016年,981    	比例1:1.05,2,35%(一般),上海迅腾博房地产开发有限公司,阳光城物业服务(福建)有限公司上海分公司
92,金桥和苑,https://shanghai.anjuke.com/community/view/407805,31.259493,121.599044,公寓,0.75元/平米/月,39840m²,368户,2011年,地上车位共150个。,1.6,40%(高),上海金桥（集团）有限公司,上海欣城物业有限公司
93,御沁园(东区公寓),https://shanghai.anjuke.com/community/view/397388,31.108071,121.581995,公寓,2.00元/平米/月,347942m²,175户,2013年,178,1.3,35%(一般),上海荣启置业有限公司,家利物业管理(上海)有限公司
94,锦绣华都,https://shanghai.anjuke.com/community/view/219208,31.161016,121.587832,公寓,1.75元/平米/月,199285m²,1578户,2010年,1014,1.73,50%(高),上海越州置业有限公司,上海枫宇物业管理有限公司
95,天台别韵,https://shanghai.anjuke.com/community/view/209842,31.126784000000004,121.558564,公寓,1.70元/平米/月,55000m²,1300户,2009年,340,1.54,35%(一般),上海天台恒星房地产开发有限公司,上海天台物业有限公司
96,阳光城市家园,https://shanghai.anjuke.com/community/view/193920,31.277339,121.620338,公寓,0.80元/平米/月,4200m²,600户,2009年,400,2,35%(一般),阳光欧洲城投资有限公司,上海伟发物业
97,万科金色里程(公寓),https://shanghai.anjuke.com/community/view/121483,31.16758,121.534047,公寓、别墅,3.20元/平米/月,暂无数据,暂无数据,2009年,700,1.5,50%(高),上海天亿置业发展有限公司,上海万科物业管理有限公司
98,金地未未来,https://shanghai.anjuke.com/community/view/120217,31.31268,121.594133,公寓,2.60元/平米/月,154212m²,1611户,2009年,1025,1.6,36%(一般),上海深翔房地产开发有限公司,上海金地物业服务有限公司
99,江临天下,https://shanghai.anjuke.com/community/view/75566,31.232157,121.518233,公寓,2.90元/平米/月,暂无数据,暂无数据,2003年,暂无数据,3.2,45%(高),上海浦东新翔房地产开发有限公司,宝丽物业
100,银丰苑,https://shanghai.anjuke.com/community/view/11962,31.272776,121.696745,公寓,0.50元/平米/月,180000m²,1942户,2007年,地上停车位,1.5,30%(一般),上海曹路房地产开发有限公司,上海建达物业有限公司
101,艺泰安邦花园,https://shanghai.anjuke.com/community/view/7715,31.066885,121.715097,公寓,1.40元/平米/月,550000m²,4000户,2008年,600,1.5,45%(高),上海刚泰房地产发展有限公司,上海文化物业有限公司
