,name,link,long,la,Property type,Property costs,Total area,Number of units,Year built,Parking spots,Volume rate,Green rating,Developer Company,Property management company,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803
0,汤臣一品,https://shanghai.anjuke.com/community/view/8,31.23860800000001,121.508381,公寓,15,141894,220,2006,200,5,40,汤臣海景花园（上海浦东新区）有限公司,晶华物业有限公司,222603.0,212010.0,200504.0,206136.0,178042.0,160504.0,154106.0,149121.0,150532.0,222540.0,231768.0,271283.0,270121.0,267822.0,269502.0,268787.0,216301.0,213342.0,209459.0,208361.0,196184.0,191220.0,189084.0,191410.0,205951.0,192041.0,194957.0,196681.0,206819.0,220263.0,221187.0,232486.0,251312.0,231900.0,243473.0,247875.0
1,中粮海景壹号,https://shanghai.anjuke.com/community/view/218807,31.236882,121.51028,公寓,12,116605,317,2010,200,4,51,上海鹏利置业发展有限公司,上海高力国际物业服务有限公司,160908.0,160085.0,159610.0,159555.0,159726.0,136818.0,143277.0,135228.0,148283.0,172437.0,179587.0,210205.0,209305.0,207524.0,208826.0,205944.0,176395.0,176732.0,182182.0,177384.0,176498.0,184391.0,194473.0,191683.0,191921.0,186114.0,185400.0,194612.0,210256.0,207024.0,205268.0,214795.0,220373.0,227938.0,228947.0,229295.0
4,长岛花苑,https://shanghai.anjuke.com/community/view/2679,31.270386,121.609057,公寓,1,23000,2034,1993,1000,1,35,上海浦东伟业房地产开发总公司,上海洋泾物业,25894.0,26097.0,25984.0,26661.0,27301.0,27489.0,27744.0,28222.0,28928.0,30042.0,30801.0,38766.0,43257.0,43059.0,42514.0,43287.0,43931.0,43789.0,44929.0,47563.0,47383.0,48365.0,48215.0,48422.0,48542.0,49819.0,50397.0,50073.0,49394.0,49364.0,49020.0,51171.0,51699.0,50279.0,49278.0,48846.0
5,陆家嘴国际华城,https://shanghai.anjuke.com/community/view/174,31.241847,121.542053,公寓,2,200000,1200,2004,900,2,60,上海华能天地房地产有限公司,陆家嘴物业,50134.0,50951.0,52864.0,55125.0,58821.0,62534.0,63072.0,64734.0,66436.0,69319.0,73769.0,82829.0,84540.0,83171.0,79882.0,81992.0,82856.0,84422.0,86535.0,86001.0,87178.0,87277.0,87711.0,87081.0,87032.0,94111.0,93153.0,94081.0,91265.0,87939.0,88654.0,88853.0,88089.0,87603.0,87779.0,88487.0
8,碧云国际社区晓园,https://shanghai.anjuke.com/community/view/100,31.247269,121.598271,公寓,3,50000,268,2006,380,1,49,上海中通贵云实业有限公司,上海金晨物业管理有限公司,50195.0,50869.0,53482.0,55482.0,56002.0,56203.0,57210.0,59966.0,65523.0,70702.0,72510.0,80637.0,80494.0,79462.0,79939.0,80156.0,80413.0,81046.0,84172.0,84431.0,83926.0,83918.0,83893.0,84345.0,85868.0,94585.0,93238.0,94451.0,91135.0,92051.0,92282.0,92667.0,91475.0,91815.0,92869.0,93670.0
13,世茂滨江花园(南区),https://shanghai.anjuke.com/community/view/14987,31.225557,121.520885,公寓,5,40000,180,2009,50,3,20,上海世茂房地产有限公司,世茂物业管理有限公司,0.0,0.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8125.0,8451.0,8408.0,8361.0,8361.0,64000.0,64000.0,65582.0,65582.0,65582.0,65582.0,79458.0,84309.0,86831.0,88532.0,89646.0,88506.0,91589.0,94651.0,94669.0,95124.0,95882.0,95300.0,98003.0,98340.0
17,云台小区,https://shanghai.anjuke.com/community/view/98633,31.187561,121.505749,公寓,0,10000,160,1993,150,1,30,上海恒大房产股份有限公司,上海上钢物业公司,33199.0,31897.0,33562.0,32321.0,33593.0,34047.0,31791.0,35065.0,38236.0,37451.0,36147.0,47257.0,46993.0,47854.0,45997.0,46074.0,47844.0,46817.0,48752.0,53977.0,59933.0,56726.0,49098.0,48990.0,47515.0,50865.0,51342.0,52862.0,52740.0,53269.0,53692.0,54143.0,53974.0,52780.0,51188.0,50755.0
20,星河湾,https://shanghai.anjuke.com/community/view/200907,31.198809000000004,121.542355,公寓,4,95000,531,2009,825,1,35,星河湾地产集团有限公司,广州星河湾物业管理服务有限公司上海分公司,65443.0,66231.0,66677.0,67572.0,67590.0,67741.0,68265.0,68266.0,69163.0,74297.0,78486.0,94787.0,100574.0,99626.0,100184.0,95042.0,86908.0,91333.0,97619.0,99589.0,102054.0,102587.0,102447.0,103475.0,106148.0,106666.0,107317.0,107659.0,107649.0,107447.0,107010.0,107545.0,107695.0,109420.0,109961.0,109417.0
23,盛大金磐花园,https://shanghai.anjuke.com/community/view/31,31.237461,121.512641,公寓,2,114588,500,2005,500,3,50,上海金磐房地产开发有限公司,上海申厦物业,69973.0,72645.0,76958.0,79150.0,78587.0,78750.0,78887.0,77573.0,79713.0,86056.0,89624.0,104904.0,104455.0,103566.0,104216.0,102269.0,95723.0,99395.0,102248.0,103638.0,106421.0,104166.0,104444.0,103044.0,104162.0,108680.0,109151.0,111311.0,109784.0,112207.0,110118.0,112347.0,111281.0,111919.0,114638.0,114719.0
25,星颂家园,https://shanghai.anjuke.com/community/view/471134,31.281911,121.681865,公寓,1,134784,1728,2012,600,2,45,中星地产,浦东东龙物业有限公司,19368.0,20272.0,21131.0,22196.0,22642.0,23115.0,23707.0,24444.0,24717.0,25992.0,27089.0,32412.0,34035.0,33559.0,34088.0,35172.0,37267.0,39106.0,43404.0,44038.0,44369.0,45199.0,44952.0,44292.0,44201.0,45310.0,45278.0,45080.0,44286.0,43690.0,43221.0,42959.0,42875.0,42374.0,42427.0,42609.0
33,浦发御园,https://shanghai.anjuke.com/community/view/370266,31.153149,121.541175,公寓,3,75624,642,2013,322,1,35,上海浦发澳丽房地产有限公司,浦房物业管理有限公司,39173.0,39783.0,40132.0,41295.0,46653.0,44707.0,44747.0,44687.0,45198.0,47122.0,50117.0,58411.0,61371.0,63269.0,59272.0,61221.0,62080.0,65509.0,67328.0,66651.0,67465.0,67490.0,67591.0,66161.0,69516.0,73735.0,73100.0,71754.0,68014.0,67998.0,65997.0,63342.0,63121.0,63279.0,63408.0,63237.0
35,御翠园,https://shanghai.anjuke.com/community/view/150,31.223849,121.573489,别墅,8,160000,404,2004,500,0,56,长江实业（集团）股份有限公司,和记物业服务上海有限公司,114004.0,116691.0,117578.0,118191.0,117664.0,115231.0,117182.0,120764.0,117364.0,125539.0,131217.0,149190.0,146078.0,145854.0,144941.0,140706.0,108158.0,111831.0,119419.0,132704.0,140839.0,135687.0,139395.0,140871.0,143519.0,149360.0,151615.0,157179.0,162116.0,161478.0,158206.0,159572.0,160627.0,161971.0,162251.0,162098.0
37,星纳家园,https://shanghai.anjuke.com/community/view/404552,31.29883400000001,121.67763,公寓,1,63284,986,2012,586,2,45,上海中星（集团）有限公司,上海浦东东龙物业有限公司,18092.0,18149.0,18377.0,19045.0,19683.0,20276.0,20780.0,20546.0,21053.0,23424.0,24203.0,28518.0,30940.0,31728.0,32966.0,33996.0,36172.0,39609.0,42743.0,44057.0,44342.0,43886.0,44077.0,43250.0,43225.0,44241.0,44167.0,43901.0,43325.0,42740.0,42477.0,42098.0,41259.0,40627.0,40647.0,40885.0
39,万科金色城市,https://shanghai.anjuke.com/community/view/85230,31.167212,121.578734,公寓,2,139204,5095,2010,3060,1,47,上海万科房地产有限公司,上海万科物业管理有限公司,39939.0,41016.0,41686.0,42781.0,44090.0,45542.0,46693.0,47844.0,49457.0,52674.0,55093.0,64144.0,65715.0,64144.0,63589.0,65813.0,65829.0,66983.0,69236.0,74726.0,75765.0,74135.0,73452.0,72835.0,72222.0,76911.0,78273.0,75347.0,72804.0,72670.0,74256.0,71779.0,70871.0,71486.0,69888.0,69863.0
41,幸福小镇明丰绿都,https://shanghai.anjuke.com/community/view/1109,31.30621,121.615737,公寓,1,300000,2800,2006,1000,1,35,上海虹阳置业有限公司,同涞物业管理公司,28955.0,29296.0,29898.0,30129.0,30715.0,31620.0,31944.0,32810.0,34103.0,36992.0,37699.0,45103.0,47388.0,46521.0,46642.0,47490.0,48283.0,49576.0,51221.0,53231.0,53308.0,53929.0,54629.0,54722.0,54945.0,57177.0,57088.0,56783.0,55343.0,55909.0,55463.0,54264.0,53597.0,54566.0,54141.0,53712.0
45,保利ONE56,https://shanghai.anjuke.com/community/view/626043,31.225028,121.519075,公寓,2,166000,156,2013,915,2,35,上海保利建昊商业投资有限公司, 上海保利物业管理有限公司 ,119617.0,126680.0,127655.0,114885.0,110185.0,114141.0,109841.0,108300.0,107727.0,120674.0,127014.0,151597.0,159442.0,159732.0,159452.0,149906.0,111519.0,112302.0,110694.0,112614.0,110018.0,108363.0,109055.0,109111.0,109120.0,106767.0,110035.0,109815.0,131666.0,137579.0,151740.0,172086.0,169973.0,169201.0,173184.0,172131.0
47,美林小城,https://shanghai.anjuke.com/community/view/7747,31.121493,121.572633,公寓,0,350000,3047,2005,1148,1,37,上海康星房地产开发有限公司,上海申能物业管理有限公司,23600.0,23886.0,24099.0,24564.0,25136.0,25880.0,26586.0,27744.0,28115.0,29598.0,30806.0,37858.0,39527.0,38681.0,39113.0,39741.0,40973.0,42363.0,45707.0,47545.0,47850.0,47853.0,47337.0,47387.0,48320.0,51277.0,50539.0,49171.0,47528.0,46884.0,47429.0,47821.0,45623.0,44340.0,43555.0,43828.0
60,万科海上传奇,https://shanghai.anjuke.com/community/view/537363,31.164059,121.574179,公寓,3,250000,1172,2014,3060,2,45,上海地杰置业有限公司,上海万科物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,银良公寓,https://shanghai.anjuke.com/community/view/13954,31.210591,121.555719,公寓,1,20000,164,1997,30,1,45,上海银厦房地产公司,上海颐人物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,鹏欣绿苑,https://shanghai.anjuke.com/community/view/2585,31.278639,121.592231,公寓,1,450000,1500,2000,450,1,51,上海鹏欣（集团）有限公司,上海春川物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,万科新里程,https://shanghai.anjuke.com/community/view/2099,31.16586400000001,121.536632,公寓,2,185328,2700,2007,2100,1,50,万科集团,上海万科物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,阳光花城(公寓),https://shanghai.anjuke.com/community/view/659,31.21405,121.62972,公寓,2,200000,1327,2007,1099,1,37,上海德尚房地产开发有限公司,上钢物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,陆家嘴美丽苑,https://shanghai.anjuke.com/community/view/102,31.241012,121.549693,公寓,2,160000,1036,2006,910,2,50,上海陆洋经济联合发展有限公司,上海陆家嘴物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,东方城市花园(二期),https://shanghai.anjuke.com/community/view/638815,31.204784000000004,121.531753,公寓,1,460000,3600,2005,1500,1,40,上海由由（集团）股份有限公司,上海由由物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,万科翡翠滨江(一期),https://shanghai.anjuke.com/community/view/612944,31.250202,121.543602,公寓,9,206480,438,2015,928,2,30,上海祥大房地产发展有限公司,上海万科物业服务有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,海尚康庭,https://shanghai.anjuke.com/community/view/14852,31.132774,121.606158,公寓,1,44865,613,2007,385,1,35,上海建工集团,豫园物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,金桥湾清水苑(一期),https://shanghai.anjuke.com/community/view/11620,31.26656,121.601136,公寓,0,240000,2787,1998,937,1,46,上海金桥出口加工区房地产发展有限公司,安居物业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,绿洲康城亲水湾,https://shanghai.anjuke.com/community/view/11159,31.158304,121.590339,公寓,1,4323888,7000,2010,4142,1,44,上海振龙房地产有限公司,上海中远物业管理发展有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,天台星城,https://shanghai.anjuke.com/community/view/7718,31.12605,121.555918,公寓,0,160000,690,2005,680,1,35,上海天台恒星房地产经营开发有限公司,上海天台物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,金恒小区,https://shanghai.anjuke.com/community/view/5968,31.190532,121.543446,公寓,0,64000,290,1995,68,2,35,上海建工集团,上海沪西物业管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,碧云新天地家园(二期),https://shanghai.anjuke.com/community/view/1624,31.26807,121.594801,公寓,1,240000,1640,2002,510,2,40,上海金桥出口加工区开发股份有限公司,上海欣城物业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
