,address,long,lat,property_type,property_cost(Rmb/m^2/month),total_area(m2),number_of_units,year_built,parking_spots,volume_rate,green_rating(%),ratio
1553,中汇花园,31.044786,121.74993799999999,0,0.8,6136,300,2007,100,12,30,0.8137617588802394
3742,牡丹新村,31.159725,121.35459099999999,0,0.5,50000,231,1996,34,2,30,-0.7420507874287298
4002,鸿福新村,31.130442,121.425372,0,0.4,4500,816,1994,150,13,35,-0.20691888004551431
4003,豪嘉府邸,31.186257,121.394641,1,5.0,6541,16,1998,16,38,64,1.615736803060307
4004,秀枫翠谷,31.164590000000004,121.371177,0,0.6,150000,800,1996,57,15,30,-0.055293947261039006
4005,沪江新苑,31.182321,121.354818,0,0.5,36000,868,2000,120,12,35,-0.319987959601635
4007,苹果园(公寓),31.180182000000002,121.397327,0,1.0,70000,630,1998,125,12,46,0.05033172901377753
4008,旅专小区,31.185839,121.40343500000002,0,0.8,3500,420,1998,50,11,20,-0.10333757867353399
4011,虹梅佳苑,31.127678999999997,121.425421,0,0.7,35000,381,2004,50,17,35,-0.1460321927451979
4012,莲浦花苑,31.132375,121.40181499999998,0,1.5,100000,888,1998,150,14,50,-0.18497244540344113
4013,现代苑,31.043189,121.47337900000001,0,0.8,12000,1380,2003,670,145,40,-0.3866757075833716
4015,蓼花汀花园(公寓),31.142139,121.37011799999999,0,2.3,20000,392,2005,287,17,55,0.11963927305795248
4016,北欧丽景,31.021788,121.43743400000001,0,1.1,8665,90,2000,50,16,35,-0.374172158202011
4049,水景书香园,31.15609000000001,121.370741,0,1.2,60000,308,2007,388,16,40,0.2419623304794837
4050,富岩路328弄小区,31.037941999999997,121.37706000000001,0,0.3,20000,2042,1995,240,18,40,-0.5220611734329167
4052,嘉丽苑,31.1637,121.355974,0,0.8,27000,112,2008,80,15,30,0.31871566138230356
4055,奥塞花园,31.103672999999997,121.39777600000001,0,0.9,200000,1200,2005,360,21,40,0.022078395232232418
4056,龙柏公寓,31.188143,121.373521,0,1.0,60000,500,1995,200,2,35,-0.19831094335927535
4061,水清一村,31.120209999999997,121.38626299999999,0,1.0,44200,520,1994,100,18,30,-0.09494762899586144
4063,金美苑,31.157745000000002,121.349719,0,0.5,20000,144,1998,26,13,35,-0.3170439234652244
4065,莲花苑,31.130640999999997,121.41540400000001,0,0.5,350,450,1998,50,18,35,-0.25722726525524425
4066,红旗花苑,31.015815000000003,121.40938799999999,0,0.3,2000,650,1996,120,18,35,-0.44242683769805713
4067,莘松四村,31.110951,121.37576499999999,0,0.5,3000,597,1994,100,15,36,-0.2240433482752561
4068,源梦苑,31.118917,121.42926499999999,0,0.54,18000,600,2002,115,19,40,-0.23712642532721895
4069,欣源公寓,31.166142999999998,121.35556299999999,0,0.8,60000,186,1995,59,15,40,-0.23178421126955664
4071,世纪苑,31.137622999999998,121.413643,0,1.5,170000,1832,2002,428,22,50,-0.027261462151881573
4072,春意苑,31.134059000000004,121.392423,0,0.8,55000,320,2002,200,18,41,-0.061590561777743365
4073,星丰苑,31.133767,121.38561299999999,0,1.0,3500,1200,1999,350,2,30,-0.22724341828782516
4074,普乐二村,31.12101,121.43029299999999,0,1.0,3000,620,1998,23,2,40,-0.22807626685844543
4077,保利名苑(公寓),31.149378000000002,121.358248,0,2.0,100000,423,2004,128,93,40,-0.09208989913796267
4079,报春四村,31.126174,121.38221100000001,0,0.35,2300,230,1994,87,2,40,-0.2905242785904359
4080,和嘉公寓,31.160228999999998,121.40033600000001,0,1.0,33000,210,2003,64,15,37,0.14504479287237906
4081,东苑佳佳花园,31.132026,121.39785900000001,0,0.6,300000,696,1998,120,18,30,-0.12039621641538718
4082,金榜家园,31.045536,121.416652,0,0.9,42500,300,2006,129,18,40,-0.3981713241061973
4084,绿水家园,31.104564,121.39448300000001,0,1.0,125000,326,2005,163,22,35,-0.1458049861012596
4088,罗秀新苑,31.132929999999998,121.416719,0,0.44,14000,320,1996,35,2,30,-0.16317512049826843
4089,地铁明珠苑,31.119034999999997,121.39194099999999,0,1.5,56320,200,2001,190,256,37,-0.14325510971954905
4153,上海花园(公寓),31.141639,121.41098799999999,0,3.9,185106,126,1997,263,2,50,0.14152171751918044
4154,半岛豪门,31.141104,121.387095,1,1.6,8000,150,2007,150,57,45,-0.07253954092498695
4156,枫荷兰庭,31.152240999999997,121.36016599999999,0,1.5,11976,96,2009,96,18,35,-0.06039323902774
4158,万泰公寓,31.164406,121.354118,0,0.8,80000,426,1998,57,136,36,-0.2594898530389595
